# Runtime LR CIFAR-10 inner-iteration sweep
# started_utc=2026-05-05T23:07:28Z
# repo_root=/mnt/lts4/scratch/students/aabdolla/LAT
# cifar_dir=/mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10
# python=Python 3.10.12
# k_values=5 10 25 50 100 200
# seeds=2022
# epochs=10
# eps_ent=0.2
# num_samples=16
# batch_size=256
# pgd_steps=20
# pgd_restarts=5
# ro_epsilon_level=0.04
# npf_hidden=512 512 256 128 64
# npf_outer_rank=8
# npf_inner_rank=2
# npf_activation=softplus
# npf_softplus_beta=10.0
# npf_init_eps=1e-4
# npf_lr_B=1e-3
# npf_weight_decay_B=1e-4
# npf_bb_alpha0=2e-4
# npf_bb_alpha_min=1e-7
# npf_bb_alpha_max=0.25
# npf_bb_ls_c=1e-4
# npf_bb_ls_shrink=0.5
# npf_bb_ls_max_steps=15
# feature_cache=/mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth
# data_dir=/mnt/lts4/scratch/data
status	family	k	seed	started_utc	ended_utc	elapsed_seconds	out_dir	log_file	time_file	command
completed	wrm_style_WRM	5	2022	2026-05-05T23:07:28Z	2026-05-05T23:08:37Z	69	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style_WRM/K_5/seed_2022	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/logs/wrm_style_WRM_K5_seed2022.log	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/time/wrm_style_WRM_K5_seed2022.time.txt	python CIFAR10_LogReg.py --methods WRM --epochs 10 --eps_ent 0.2 --num_samples 16 --batch_size 256 --pgd_steps 20 --pgd_restarts 5 --ro_epsilon_level 0.04 --num_workers 2 --seed 2022 --out_dir /mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style_WRM/K_5/seed_2022 --feature_cache /mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth --data_dir /mnt/lts4/scratch/data --inner_steps 5 --ro_pgd_steps 5
completed	wrm_style_Dual	5	2022	2026-05-05T23:08:38Z	2026-05-05T23:09:41Z	63	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style_Dual/K_5/seed_2022	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/logs/wrm_style_Dual_K5_seed2022.log	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/time/wrm_style_Dual_K5_seed2022.time.txt	python CIFAR10_LogReg.py --methods Dual --epochs 10 --eps_ent 0.2 --num_samples 16 --batch_size 256 --pgd_steps 20 --pgd_restarts 5 --ro_epsilon_level 0.04 --num_workers 2 --seed 2022 --out_dir /mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style_Dual/K_5/seed_2022 --feature_cache /mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth --data_dir /mnt/lts4/scratch/data --inner_steps 5 --ro_pgd_steps 5
completed	wrm_style_WFR	5	2022	2026-05-05T23:09:41Z	2026-05-05T23:10:55Z	74	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style_WFR/K_5/seed_2022	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/logs/wrm_style_WFR_K5_seed2022.log	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/time/wrm_style_WFR_K5_seed2022.time.txt	python CIFAR10_LogReg.py --methods WFR --epochs 10 --eps_ent 0.2 --num_samples 16 --batch_size 256 --pgd_steps 20 --pgd_restarts 5 --ro_epsilon_level 0.04 --num_workers 2 --seed 2022 --out_dir /mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style_WFR/K_5/seed_2022 --feature_cache /mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth --data_dir /mnt/lts4/scratch/data --inner_steps 5 --ro_pgd_steps 5
completed	wrm_style_RO	5	2022	2026-05-05T23:10:55Z	2026-05-05T23:12:03Z	68	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style_RO/K_5/seed_2022	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/logs/wrm_style_RO_K5_seed2022.log	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/time/wrm_style_RO_K5_seed2022.time.txt	python CIFAR10_LogReg.py --methods RO --epochs 10 --eps_ent 0.2 --num_samples 16 --batch_size 256 --pgd_steps 20 --pgd_restarts 5 --ro_epsilon_level 0.04 --num_workers 2 --seed 2022 --out_dir /mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style_RO/K_5/seed_2022 --feature_cache /mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth --data_dir /mnt/lts4/scratch/data --inner_steps 5 --ro_pgd_steps 5
completed	wrm_style_WRM	10	2022	2026-05-05T23:12:03Z	2026-05-05T23:13:15Z	72	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style_WRM/K_10/seed_2022	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/logs/wrm_style_WRM_K10_seed2022.log	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/time/wrm_style_WRM_K10_seed2022.time.txt	python CIFAR10_LogReg.py --methods WRM --epochs 10 --eps_ent 0.2 --num_samples 16 --batch_size 256 --pgd_steps 20 --pgd_restarts 5 --ro_epsilon_level 0.04 --num_workers 2 --seed 2022 --out_dir /mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style_WRM/K_10/seed_2022 --feature_cache /mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth --data_dir /mnt/lts4/scratch/data --inner_steps 10 --ro_pgd_steps 10
completed	wrm_style_Dual	10	2022	2026-05-05T23:13:15Z	2026-05-05T23:14:18Z	63	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style_Dual/K_10/seed_2022	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/logs/wrm_style_Dual_K10_seed2022.log	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/time/wrm_style_Dual_K10_seed2022.time.txt	python CIFAR10_LogReg.py --methods Dual --epochs 10 --eps_ent 0.2 --num_samples 16 --batch_size 256 --pgd_steps 20 --pgd_restarts 5 --ro_epsilon_level 0.04 --num_workers 2 --seed 2022 --out_dir /mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style_Dual/K_10/seed_2022 --feature_cache /mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth --data_dir /mnt/lts4/scratch/data --inner_steps 10 --ro_pgd_steps 10
completed	wrm_style_WFR	10	2022	2026-05-05T23:14:18Z	2026-05-05T23:15:45Z	87	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style_WFR/K_10/seed_2022	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/logs/wrm_style_WFR_K10_seed2022.log	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/time/wrm_style_WFR_K10_seed2022.time.txt	python CIFAR10_LogReg.py --methods WFR --epochs 10 --eps_ent 0.2 --num_samples 16 --batch_size 256 --pgd_steps 20 --pgd_restarts 5 --ro_epsilon_level 0.04 --num_workers 2 --seed 2022 --out_dir /mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style_WFR/K_10/seed_2022 --feature_cache /mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth --data_dir /mnt/lts4/scratch/data --inner_steps 10 --ro_pgd_steps 10
completed	wrm_style_RO	10	2022	2026-05-05T23:15:45Z	2026-05-05T23:16:59Z	74	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style_RO/K_10/seed_2022	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/logs/wrm_style_RO_K10_seed2022.log	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/time/wrm_style_RO_K10_seed2022.time.txt	python CIFAR10_LogReg.py --methods RO --epochs 10 --eps_ent 0.2 --num_samples 16 --batch_size 256 --pgd_steps 20 --pgd_restarts 5 --ro_epsilon_level 0.04 --num_workers 2 --seed 2022 --out_dir /mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style_RO/K_10/seed_2022 --feature_cache /mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth --data_dir /mnt/lts4/scratch/data --inner_steps 10 --ro_pgd_steps 10
completed	wrm_style_WRM	25	2022	2026-05-05T23:16:59Z	2026-05-05T23:18:28Z	89	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style_WRM/K_25/seed_2022	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/logs/wrm_style_WRM_K25_seed2022.log	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/time/wrm_style_WRM_K25_seed2022.time.txt	python CIFAR10_LogReg.py --methods WRM --epochs 10 --eps_ent 0.2 --num_samples 16 --batch_size 256 --pgd_steps 20 --pgd_restarts 5 --ro_epsilon_level 0.04 --num_workers 2 --seed 2022 --out_dir /mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style_WRM/K_25/seed_2022 --feature_cache /mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth --data_dir /mnt/lts4/scratch/data --inner_steps 25 --ro_pgd_steps 25
completed	wrm_style_Dual	25	2022	2026-05-05T23:18:28Z	2026-05-05T23:19:31Z	63	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style_Dual/K_25/seed_2022	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/logs/wrm_style_Dual_K25_seed2022.log	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/time/wrm_style_Dual_K25_seed2022.time.txt	python CIFAR10_LogReg.py --methods Dual --epochs 10 --eps_ent 0.2 --num_samples 16 --batch_size 256 --pgd_steps 20 --pgd_restarts 5 --ro_epsilon_level 0.04 --num_workers 2 --seed 2022 --out_dir /mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style_Dual/K_25/seed_2022 --feature_cache /mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth --data_dir /mnt/lts4/scratch/data --inner_steps 25 --ro_pgd_steps 25
